data,addthis_stream-lib.json,square_javapoet.json,progether_jadventure.json,cowtowncoder_low-gc-membuffers.json,takahikokawasaki_nv-websocket-client.json,julman99_gson-fire.json,cowtowncoder_java-uuid-generator.json,avaje-metrics_metrics.json,laforge49_jactor.json,jakewharton_disklrucache.json,tumblr_jumblr.json,sanity_lastcalc.json,danieldk_dictomaton.json,square_protoparser.json,fasseg_exp4j.json,apache_commons-cli.json,jonbo372_efflux.json,yegor256_xembly.json,smartrics_restfixture.json,opendatalab-de_geojson-jackson.json,skyscreamer_jsonassert.json,thrau_jarchivelib.json,stateless4j_stateless4j.json,mpatric_mp3agic.json,dius_java-faker.json,apotapov_gdx-artemis.json,taksan_skype-java-api.json
[1],0.9869296594672872,0.8486855463976362,0.8696962572080092,0.9081493570150213,0.9071241006715577,0.8304560390739172,0.8614647271669507,0.9326875170902124,0.9698867693868575,0.9644783637275178,0.8544157110357955,0.8953972957920099,0.9567311490444742,0.8533022866570837,0.9379681399670124,0.7960226758547646,0.7840633526923617,0.9224426394699741,0.8290149177550655,0.8314973349883178,0.8197040220146883,0.8284715443463259,0.8321208290832239,0.8074291885336362,0.829047293255402,0.8404692251156489,0.9577838651113588
"[1, 1]",0.9933490572055402,0.9242983698733034,0.933965220643591,0.9530040318526413,0.9516011225156652,0.9142014034771229,0.9263066760221781,0.9604371863432055,0.9844343513184385,0.9817638810553362,0.9264970518594178,0.9435469575122293,0.9715378212425045,0.9264297297941857,0.968800655573418,0.8979023032809688,0.8843523901281727,0.9597127463787427,0.9145570773984187,0.9143925842095015,0.9097772787945714,0.9165285691584755,0.9153502029045064,0.9033093884444002,0.914534917155954,0.9196101319575545,0.9772936501129313
"[1, 1, 1, 1]",0.9966717582751831,0.9620558867676811,0.9659644995619943,0.976255366586901,0.9718380454743042,0.9566415927067929,0.9570245935954056,0.9728815405501651,0.9914222490017548,0.9899718775459045,0.9624968661497747,0.966092857170995,0.9735178299696541,0.9627406009006138,0.9842449944672943,0.9488978388306626,0.9357150661295518,0.9787454991446535,0.9573207037942112,0.9557337300428349,0.9543822277960797,0.9556196227100406,0.9562760051661762,0.9511928933463836,0.9572653229327073,0.9582414626296397,0.9844980272750665
"[1, 1, 1, 1, 1, 1, 1, 1]",0.9982305283008278,0.9808810285192194,0.9822197893915682,0.9858798751734401,0.9816726252258486,0.9774158313295529,0.9753248386862189,0.9786405917637913,0.9948001713454647,0.993984223224917,0.9805385579646223,0.9772212650060802,0.9745023463626689,0.9804277346333046,0.9919374386704803,0.9743960255666869,0.960970723076028,0.9879910884835327,0.9786572214582342,0.9768667250778816,0.9765271690976729,0.9749835418038182,0.9764279450506711,0.9754232021576538,0.9786283764368527,0.9765783747171823,0.98638328401521
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.9988976043271954,0.9902840789125152,0.9898036560248324,0.9904160235979006,0.9866021131446111,0.9880192521171236,0.9807985990318225,0.9814872921508316,0.9963839012916588,0.9957761483988218,0.9895770462881286,0.9839720124881859,0.9750013688019594,0.9893571094070128,0.9958182140843895,0.9870627930633435,0.9731388160107157,0.9924197339515589,0.9893209869392128,0.9870582651869159,0.9880278610910672,0.9852670767973485,0.9862589986130578,0.9874318084187486,0.9892864889450756,0.9844156062505705,0.9870254917517226
"[1, 2]",0.9954701616472168,0.9494515933371979,0.9556983088262889,0.9694829570019505,0.9686051944441979,0.9426148326437797,0.9521527503434613,0.9754779168738231,0.9898682514126385,0.9879130240646739,0.951469891824133,0.9636946664761662,0.9808909981839923,0.9510443022194471,0.9792888907447231,0.9321321122849473,0.9241223520864756,0.9731848616485979,0.9427481488245564,0.9431540230724299,0.9398722674713924,0.9435994642573382,0.9435252181315174,0.9356563288829111,0.943010076325489,0.9468020588645021,0.9849430518626526
"[1, 3]",0.9965348476165724,0.9621885981985302,0.9665968060062761,0.9764538140471355,0.9765475989815743,0.9568722826323464,0.9625363656196749,0.9753978356576227,0.9925369053165718,0.9912366907940089,0.9635041552532615,0.9736406946621581,0.985013777996786,0.9632053050899638,0.9844931248303651,0.9491103987840072,0.9452417371760035,0.9803445092425919,0.9572717122129195,0.9575220867406543,0.9547586245584267,0.9563816939456539,0.9575056780239377,0.9515309925951346,0.9572683457485309,0.9578323077440398,0.9871514486305287
"[1, 4]",0.9973342400587711,0.9697848877696351,0.9727897132962892,0.9821372903637716,0.9810449213263192,0.9659574945346047,0.9716714525217623,0.9857165532185594,0.9940633459320511,0.9929855314282132,0.970752904034542,0.9788547338563713,0.9868424521069277,0.9704365532335589,0.987568344572729,0.9592511089902365,0.9571829846769009,0.9843028504100159,0.9657564375452317,0.9654827139310747,0.9637963349324874,0.9645208962339106,0.9662138129169083,0.9614939445906598,0.9657843056042373,0.9674258189102333,0.9895270472381851
"[1, 1, 1, 1, 4, 4, 4, 4]",0.9993760799626662,0.9923796604617178,0.9935691133294564,0.9949036402300468,0.9942108975098249,0.9912820634547628,0.9907026460766798,0.9936380610725573,0.9974173236360944,0.9978842200914959,0.9925005246297415,0.9931901361300745,0.9934988154279359,0.992353577088767,0.9968425131010293,0.9899245869880713,0.9870199062650319,0.9955194342669389,0.9916625271049156,0.991091316199377,0.9910464123542915,0.9902442623322967,0.9909140976436659,0.9902038473566374,0.9913819928765744,0.9916503100786365,0.992339024573291
