data,addthis_stream-lib.json,apache_commons-cli.json,apotapov_gdx-artemis.json,avaje-metrics_metrics.json,cowtowncoder_java-uuid-generator.json,cowtowncoder_low-gc-membuffers.json,danieldk_dictomaton.json,dius_java-faker.json,fasseg_exp4j.json,jakewharton_disklrucache.json,jonbo372_efflux.json,julman99_gson-fire.json,laforge49_jactor.json,mpatric_mp3agic.json,opendatalab-de_geojson-jackson.json,progether_jadventure.json,sanity_lastcalc.json,skyscreamer_jsonassert.json,smartrics_restfixture.json,square_javapoet.json,square_protoparser.json,stateless4j_stateless4j.json,takahikokawasaki_nv-websocket-client.json,taksan_skype-java-api.json,thrau_jarchivelib.json,tumblr_jumblr.json,yegor256_xembly.json
[1],0.8973324290614182,0.8615330166545446,0.8728965812088985,0.8921309455073939,0.8898447496123163,0.9032526606708359,0.9549034634071695,0.755617855335377,0.9543007390859553,0.9670775365043556,0.794545039183941,0.8603906996101628,0.9528403087121294,0.8145559217859745,0.8522956824376947,0.842676386726838,0.9145536175043082,0.8721060959200438,0.8362370744817867,0.8591624534692818,0.8104957603508794,0.8646983767639482,0.8756457570031552,0.9524177941933271,0.8578919888311276,0.745497005432007,0.8931838779593106
"[1, 1]",0.975166231901158,0.924607517169029,0.9277668093364653,0.9460411368149,0.9214245141914853,0.9527925732469987,0.9486768183911849,0.8801004261923621,0.9733819967847672,0.9793417465689039,0.9041742284176159,0.9452752320073172,0.9818314660233772,0.9159711824937555,0.9271411360981308,0.9241857118708057,0.9477796023973971,0.9330483903565092,0.9216951594811665,0.9322041196560853,0.9133794751550709,0.9240208848544446,0.9487475197312586,0.9670200238728307,0.9363351569771402,0.8735614466781187,0.9444503029817503
"[1, 1, 1, 1]",0.9761016518494201,0.968317841545531,0.9618910713685253,0.975397016528634,0.9638417346218782,0.9761417822095759,0.9699854594305606,0.9373700149200239,0.9865520283107501,0.9898904085981074,0.9479235987643898,0.9677312220252069,0.9891449001319382,0.9532324985063273,0.9592657831970405,0.9577373370469463,0.9673861027266317,0.9624333269551599,0.9566975547992906,0.9656929030177627,0.9527363406548854,0.959702999904602,0.9704541220514004,0.9813646735712039,0.9615218723752015,0.9278035191977344,0.9700878072121593
"[1, 3]",0.9732920566877183,0.9632419132113541,0.9679743530621165,0.9773575944483907,0.9706603300765934,0.9656940869512759,0.9813745496513926,0.9217775894868342,0.9874629569701652,0.990376840884878,0.9510585410775123,0.964002259742171,0.9861769586434026,0.9402931731390437,0.9637955120716512,0.9485052312096175,0.974247479378524,0.9581077957416856,0.9511196919682224,0.9617407270628672,0.9476019125576434,0.9570239632790541,0.9713852541185028,0.9776202835077337,0.9608344872988128,0.9151992014485352,0.9762855238540564
"[1, 1, 2]",0.9815638129032717,0.9575899216375015,0.9630163373732424,0.9726058410441928,0.9640874150682697,0.972307877445756,0.9798910867572845,0.9324479312585888,0.9836134048061466,0.9912154540327129,0.9546380079261811,0.9726756937669571,0.9855890372286304,0.9420003868328019,0.9589227694217289,0.9613026493012597,0.9703255209951035,0.958665209676688,0.9546101909371794,0.9666499034515588,0.9565378375946632,0.9573320350624859,0.9786988901998704,0.9815229025502472,0.9605797825248008,0.9099874645990993,0.9745588930143891
"[2, 2]",0.9733183025668171,0.9618327938509906,0.9682763855062856,0.9747221783662844,0.968721439648107,0.9755789661213778,0.9736969707295899,0.9413454678774099,0.9869765329770133,0.9913474493952498,0.9504415022000615,0.9722766190269342,0.9839667527385519,0.9525605071999178,0.9598407685942368,0.9582024475074731,0.9754459476576167,0.9684745330293327,0.9557955624942928,0.9675844462956494,0.9532912972827653,0.9636916053305546,0.9736049135195716,0.9848699904580153,0.9581961816984857,0.9251692279121593,0.9684886990177822
"[1, 1, 1, 1, 1, 1, 1, 1]",0.991723711537184,0.9805014420643725,0.977168028514745,0.9785984033098539,0.9758673011118514,0.9845720052685556,0.9742407105569026,0.9680492232681054,0.9930976887905296,0.9950566365858243,0.9673750945366675,0.9818565886596706,0.9940458176756527,0.9787277628794875,0.9833923529984424,0.9796838147012756,0.9779377251271864,0.9801024042640011,0.978940323868817,0.9841284983614277,0.9768768523396663,0.9799787739137455,0.9833056844358885,0.9856086231666524,0.9766180109418628,0.9688537072287478,0.984965630822773
"[1, 7]",0.9863610696739605,0.9733333347298707,0.9805712076013701,0.9830642879349738,0.9787801867564482,0.9754577403275755,0.9910978219265866,0.9410410930879137,0.9854304382320396,0.9938209014852416,0.9750234479314029,0.9723420257449198,0.9925208775123049,0.9689539247693225,0.9768056975272587,0.9762264209044378,0.9863614075602433,0.9700192651575754,0.965062415414264,0.9713859363023418,0.9665595575306619,0.9802077753153643,0.9797931064053772,0.9907555152314378,0.9766407119021135,0.9435924787594596,0.9816767215516241
"[2, 6]",0.9855913796228348,0.9772357171945018,0.9842016015525548,0.9859905219122164,0.9804753621821141,0.985306024276579,0.9896846190946406,0.9622474712586111,0.9940540127774183,0.9962486212947295,0.9772397137720591,0.9833848223815753,0.9930185196071174,0.9741586217436319,0.9763840719918224,0.9759958480070338,0.9871600729103758,0.981726479332797,0.9770376857138183,0.9820814323719438,0.9746391704661987,0.9791664954392351,0.9898236089056063,0.9905874699802727,0.9759431113936119,0.9578960025999349,0.9886718014702476
"[3, 5]",0.9879368800933253,0.9819848432414858,0.9813890129843929,0.9834968217672032,0.9823804469811769,0.9866151949818014,0.9871301417338593,0.9672880122478753,0.9945811825375286,0.9945963526978756,0.9745974689004516,0.9856334082624593,0.9935074247887029,0.977779361393779,0.9798570446359035,0.9780346484839484,0.9869498529429144,0.9836065650615954,0.9777265969241798,0.9833770625472665,0.9765809305764233,0.9822544048256784,0.9876270740369459,0.9919790925107929,0.9815461624026696,0.9694981939737222,0.9868524558715895
